number,value,datetime_start,datetime_complete,duration,params_distance,params_margin_h,params_prominence_factor,params_sigma,params_window_size,user_attrs_mean_count_error,user_attrs_mean_precision,user_attrs_mean_recall,state
0,0.39615950681585355,2026-07-07 01:02:15.937473,2026-07-07 01:02:16.757351,0 days 00:00:00.819878,19,0.17800932022121826,0.2977252440242358,4.0581311290499436,31,-4.95,0.7854166666666667,0.34201007326007327,COMPLETE
1,0.5819602093331357,2026-07-07 01:02:16.764463,2026-07-07 01:02:17.625818,0 days 00:00:00.861355,19,0.4540362888980227,0.0014162406098880984,1.981947943193925,36,6.85,0.5279267101577474,0.9188041125541127,COMPLETE
2,0.24039425443837203,2026-07-07 01:02:17.630128,2026-07-07 01:02:18.382600,0 days 00:00:00.752472,8,0.19091248360355031,0.3340131933082065,0.6955526958101232,34,-5.25,0.5191666666666667,0.2156124431124431,COMPLETE
3,0.4938749261437396,2026-07-07 01:02:18.387640,2026-07-07 01:02:19.154058,0 days 00:00:00.766418,15,0.24561457009902096,0.006189514263316592,2.2423428436076214,23,8.95,0.4529937069294655,0.8834350371850371,COMPLETE
4,0.5005799685267149,2026-07-07 01:02:19.154058,2026-07-07 01:02:19.938375,0 days 00:00:00.784317,13,0.32803499210851794,0.002306595252621264,6.312602499862605,15,10.15,0.4616062888125917,0.9449038461538463,COMPLETE
5,0.6137237558784873,2026-07-07 01:02:19.938375,2026-07-07 01:02:20.683804,0 days 00:00:00.745429,19,0.12322520635999887,0.003307982168695265,7.9591716332336295,23,3.1,0.5860393772893773,0.7730322455322456,COMPLETE
6,0.6125610003134568,2026-07-07 01:02:20.688351,2026-07-07 01:02:21.497096,0 days 00:00:00.808745,29,0.5828160165372797,0.0027778833185801736,6.271676093063665,7,0.75,0.625450937950938,0.6644892607392607,COMPLETE
7,0.598711049039054,2026-07-07 01:02:21.497096,2026-07-07 01:02:22.332491,0 days 00:00:00.835395,22,0.32007624686980063,0.006203307382221112,8.17977480710638,8,1.1,0.6258580308580309,0.7014235764235764,COMPLETE
8,0.5859332824038705,2026-07-07 01:02:22.340017,2026-07-07 01:02:22.840115,0 days 00:00:00.500098,28,0.22938999080000846,0.019430323280754818,1.6593632310253987,6,4.0,0.5431318681318682,0.7875074925074925,COMPLETE
9,0.624053441198178,2026-07-07 01:02:22.840115,2026-07-07 01:02:23.151221,0 days 00:00:00.311106,18,0.19242722776276353,0.006472781098280612,6.793961701362829,23,3.3,0.5936738261738262,0.8023960761460762,COMPLETE
10,0.34128034830666415,2026-07-07 01:02:23.151221,2026-07-07 01:02:23.819494,0 days 00:00:00.668273,3,0.5808539059400536,0.06623945678620953,9.673260974743908,23,-3.7,0.5928769841269841,0.32001637251637255,COMPLETE
11,0.6234607244918524,2026-07-07 01:02:23.819494,2026-07-07 01:02:24.152004,0 days 00:00:00.332510,23,0.10356130746613516,0.013857538909633337,6.965482262925004,24,0.6,0.6539828227328227,0.6956232656232657,COMPLETE
12,0.6315073155744511,2026-07-07 01:02:24.152004,2026-07-07 01:02:24.467466,0 days 00:00:00.315462,23,0.10830447088382711,0.02016391367001179,5.850848715246558,27,0.15,0.6793217893217893,0.6907181707181708,COMPLETE
13,0.6046719563471482,2026-07-07 01:02:24.467466,2026-07-07 01:02:24.789299,0 days 00:00:00.321833,25,0.2966642210594677,0.03801280404146355,4.230850215405931,28,-0.35,0.6930465367965367,0.6475280275280275,COMPLETE
14,0.5161319078761534,2026-07-07 01:02:24.791272,2026-07-07 01:02:25.129513,0 days 00:00:00.338241,13,0.15435449063501264,0.06884891423205354,4.962403575757321,40,-2.1,0.6996969696969698,0.5078288378288378,COMPLETE
15,0.5940999791450354,2026-07-07 01:02:25.135341,2026-07-07 01:02:25.511541,0 days 00:00:00.376200,16,0.43042786264614336,0.011854933560481519,5.213368653110395,17,5.4,0.5462631125324624,0.8631145243645244,COMPLETE
16,0.3831339045371553,2026-07-07 01:02:25.512559,2026-07-07 01:02:25.867452,0 days 00:00:00.354893,25,0.23281878404730857,0.03005010354952169,9.993943167094736,15,-3.2,0.6109722222222221,0.35660853035853035,COMPLETE
17,0.5349893088406956,2026-07-07 01:02:25.867452,2026-07-07 01:02:26.227272,0 days 00:00:00.359820,8,0.1008643363632171,0.006861068300789569,7.611967911492913,29,5.05,0.5153933192710283,0.781743117993118,COMPLETE
18,0.499720226805097,2026-07-07 01:02:26.227272,2026-07-07 01:02:26.637441,0 days 00:00:00.410169,22,0.27463401446368857,0.12427325443037875,3.4080760318307486,19,-1.05,0.6606421356421357,0.5324571262071263,COMPLETE
19,0.5250449578763619,2026-07-07 01:02:26.637441,2026-07-07 01:02:27.024948,0 days 00:00:00.387507,26,0.17391367390403434,0.010052241640052273,8.911157194652374,11,-0.9,0.6205537518037518,0.5507936507936508,COMPLETE
20,0.5824583847525023,2026-07-07 01:02:27.024948,2026-07-07 01:02:27.588537,0 days 00:00:00.563589,30,0.3770266537425824,0.024613032989847995,5.635862295522635,26,-1.1,0.6750793650793651,0.6014441114441115,COMPLETE
21,0.6283626620496655,2026-07-07 01:02:27.588537,2026-07-07 01:02:28.122220,0 days 00:00:00.533683,22,0.10464330704729465,0.014845281929373533,6.906363981908641,21,1.0,0.6422627372627371,0.7091693029193029,COMPLETE
22,0.5258116399387095,2026-07-07 01:02:28.122220,2026-07-07 01:02:28.538944,0 days 00:00:00.416724,20,0.14922299999468333,0.05139218034866094,6.86360671721434,19,-1.35,0.6679545454545455,0.5314176101676101,COMPLETE
23,0.6145374644848328,2026-07-07 01:02:28.540458,2026-07-07 01:02:28.825654,0 days 00:00:00.285196,16,0.2114256230451964,0.017636256262560303,6.0714818265268065,20,3.2,0.5952495421245421,0.7998581973581974,COMPLETE
24,0.6213380128082981,2026-07-07 01:02:28.830203,2026-07-07 01:02:29.155650,0 days 00:00:00.325447,21,0.1256851027736865,0.0051679900229751234,7.061248373968317,31,1.95,0.6156085581085581,0.7338451825951827,COMPLETE
25,0.5867119592130697,2026-07-07 01:02:29.158186,2026-07-07 01:02:29.445531,0 days 00:00:00.287345,24,0.14801098533509938,0.010159733171557744,8.370371765587576,26,0.15,0.6361093073593074,0.6337011599511599,COMPLETE
26,0.503644378153666,2026-07-07 01:02:29.445531,2026-07-07 01:02:29.740294,0 days 00:00:00.294763,27,0.20095314750692356,0.11888778884178011,4.4793033805108005,21,-2.25,0.7200595238095238,0.49754259629259634,COMPLETE
27,0.6047509874035489,2026-07-07 01:02:29.742403,2026-07-07 01:02:30.022275,0 days 00:00:00.279872,18,0.1387313100345116,0.001120754777470967,7.442629742829944,12,6.15,0.5497979961215256,0.908312937062937,COMPLETE
28,0.5024821805507549,2026-07-07 01:02:30.030521,2026-07-07 01:02:30.290278,0 days 00:00:00.259757,11,0.25156989823349063,0.003928126924741394,6.014828389421071,27,8.75,0.46538180683826136,0.8874417249417249,COMPLETE
29,0.4586131840295926,2026-07-07 01:02:30.290278,2026-07-07 01:02:30.608081,0 days 00:00:00.317803,17,0.17992470296966392,0.1793054839391975,3.5280546619634894,34,-3.75,0.7618055555555556,0.41890984015984023,COMPLETE
30,0.47153022270127537,2026-07-07 01:02:30.610604,2026-07-07 01:02:30.898536,0 days 00:00:00.287932,21,0.17517576466653018,0.03696867840810085,8.715316791352356,31,-2.3,0.653015873015873,0.46598179598179595,COMPLETE
31,0.6187314815126096,2026-07-07 01:02:30.914247,2026-07-07 01:02:31.197926,0 days 00:00:00.283679,23,0.10589947078379414,0.015496276140983421,6.852749611972251,25,0.45,0.6594211344211345,0.6848860861360861,COMPLETE
32,0.6483933298396213,2026-07-07 01:02:31.213637,2026-07-07 01:02:31.543837,0 days 00:00:00.330200,23,0.10558374682237569,0.011537424522421381,5.46366280335073,24,1.9,0.6359367715617715,0.7618496780996782,COMPLETE
33,0.626731625794824,2026-07-07 01:02:31.543837,2026-07-07 01:02:31.829831,0 days 00:00:00.285994,19,0.15920336957376724,0.008677980848069155,5.031188068473818,30,1.9,0.6158100233100232,0.7347813297813299,COMPLETE
34,0.6167986739857112,2026-07-07 01:02:31.829831,2026-07-07 01:02:32.107778,0 days 00:00:00.277947,20,0.1560163057568615,0.009824083975181797,5.04505985498982,30,1.75,0.6125757575757576,0.7276397213897214,COMPLETE
35,0.599995219487143,2026-07-07 01:02:32.107778,2026-07-07 01:02:32.418116,0 days 00:00:00.310338,24,0.12832867732033248,0.02343944452576656,3.6597626886320596,34,-0.35,0.6597637085137084,0.629307081807082,COMPLETE
36,0.6184688703109755,2026-07-07 01:02:32.418116,2026-07-07 01:02:32.695691,0 days 00:00:00.277575,26,0.21217670287691476,0.007465693807620284,2.6650878342043836,37,1.1,0.630290404040404,0.6931123043623043,COMPLETE
37,0.553306153570197,2026-07-07 01:02:32.695691,2026-07-07 01:02:32.973546,0 days 00:00:00.277855,14,0.12553520435747495,0.004448810899012424,5.683523366082406,21,7.8,0.5084229309132561,0.9162296037296038,COMPLETE
38,0.6463712531853263,2026-07-07 01:02:32.973546,2026-07-07 01:02:33.236148,0 days 00:00:00.262602,19,0.5300204271817572,0.0020095076067884613,4.572916301367944,32,3.8,0.5982584082584081,0.8407113719613719,COMPLETE
39,0.6443240455196977,2026-07-07 01:02:33.236148,2026-07-07 01:02:33.522674,0 days 00:00:00.286526,22,0.5492040543630949,0.0018328913325999807,4.466613691049906,33,2.75,0.6209848484848484,0.7776720501720502,COMPLETE
40,0.6228898083191393,2026-07-07 01:02:33.522674,2026-07-07 01:02:33.830043,0 days 00:00:00.307369,28,0.5547297359585303,0.0018981372115963468,2.8246421780877866,36,1.5,0.6344910644910644,0.707270646020646,COMPLETE
41,0.6439967453688681,2026-07-07 01:02:33.830043,2026-07-07 01:02:34.096424,0 days 00:00:00.266381,22,0.524215679589523,0.0019376938158146102,4.527994275573082,33,2.65,0.6209848484848484,0.7735053835053836,COMPLETE
42,0.6397519270923161,2026-07-07 01:02:34.096424,2026-07-07 01:02:34.375581,0 days 00:00:00.279157,20,0.5015992568273958,0.0017037086597334716,4.4922715872736685,32,3.9,0.5920912420912421,0.8373197635697636,COMPLETE
43,0.6383783805583846,2026-07-07 01:02:34.375581,2026-07-07 01:02:34.627119,0 days 00:00:00.251538,20,0.5103315901454494,0.0016768258687234715,4.596345748604271,33,3.25,0.602544955044955,0.801742562992563,COMPLETE
44,0.6143971820519808,2026-07-07 01:02:34.627119,2026-07-07 01:02:34.927829,0 days 00:00:00.300710,19,0.5032977460086387,0.0024745647962630644,3.916186951989716,38,3.5,0.5844925907425907,0.7918960206460206,COMPLETE
45,0.563786576547446,2026-07-07 01:02:34.927829,2026-07-07 01:02:35.194859,0 days 00:00:00.267030,18,0.531323685777027,0.0010068188035825738,3.053761078170301,33,6.85,0.5136899824032177,0.8847644022644022,COMPLETE
46,0.6144546897073921,2026-07-07 01:02:35.194859,2026-07-07 01:02:35.494615,0 days 00:00:00.299756,21,0.4514971223686108,0.003257774456161011,1.4066669911582053,36,5.6,0.5631292114747998,0.8991890054390055,COMPLETE
47,0.6178195384129168,2026-07-07 01:02:35.494615,2026-07-07 01:02:35.773670,0 days 00:00:00.279055,17,0.5936611655633893,0.0015336300327077799,4.436896284932065,32,5.4,0.5597722294045824,0.8925324675324674,COMPLETE
48,0.6258852180073408,2026-07-07 01:02:35.773670,2026-07-07 01:02:36.043540,0 days 00:00:00.269870,25,0.4795250101593834,0.0020771952398691918,5.467336567625701,38,0.7,0.64887432012432,0.6921113608613608,COMPLETE
49,0.6491216900948021,2026-07-07 01:02:36.043540,2026-07-07 01:02:36.305505,0 days 00:00:00.261965,24,0.5604847878758152,0.0013204773159542498,4.07425640114348,35,2.1,0.6448372460872461,0.7697861860361861,COMPLETE
50,0.643602663900315,2026-07-07 01:02:36.305505,2026-07-07 01:02:36.574896,0 days 00:00:00.269391,24,0.5598952552802478,0.001232149434559014,4.025841246289744,40,1.8,0.6385674048174048,0.7551326451326452,COMPLETE
51,0.6384337386226939,2026-07-07 01:02:36.574896,2026-07-07 01:02:36.869324,0 days 00:00:00.294428,24,0.5551900723313624,0.00127813599833758,4.059039752969805,40,1.7,0.6370522533022533,0.7459659784659786,COMPLETE
52,0.6193109363154455,2026-07-07 01:02:36.869324,2026-07-07 01:02:37.146926,0 days 00:00:00.277602,22,0.5607746590277384,0.00316338817479513,4.708691380577367,35,2.05,0.6092998667998668,0.7264263514263515,COMPLETE
53,0.6313960395992635,2026-07-07 01:02:37.146926,2026-07-07 01:02:37.437242,0 days 00:00:00.290316,23,0.5313609996666853,0.0023362066131404533,3.883659312598708,38,1.5,0.6385794760794761,0.7200044400044401,COMPLETE
54,0.6370841563239261,2026-07-07 01:02:37.437242,2026-07-07 01:02:37.788741,0 days 00:00:00.351499,27,0.3784642610939909,0.0012896984916184694,3.2918711797526554,39,1.55,0.6380555555555556,0.7324510212010213,COMPLETE
55,0.6398912050169958,2026-07-07 01:02:37.791839,2026-07-07 01:02:38.092499,0 days 00:00:00.300660,26,0.5696455603255169,0.0013524208687071145,5.482944767556536,35,1.15,0.6525450937950938,0.7203454878454879,COMPLETE
56,0.6373656871687562,2026-07-07 01:02:38.092499,2026-07-07 01:02:38.337745,0 days 00:00:00.245246,24,0.540733317367542,0.0027495307515606336,2.4985709507395657,28,3.4,0.6021353646353647,0.8145679320679321,COMPLETE
57,0.5159616598008439,2026-07-07 01:02:38.337745,2026-07-07 01:02:38.615210,0 days 00:00:00.277465,4,0.5998309204444988,0.0020359823514516607,6.4280474400159875,37,6.6,0.4822176836321573,0.8093603618603618,COMPLETE
58,0.6523978469370176,2026-07-07 01:02:38.615210,2026-07-07 01:02:38.896334,0 days 00:00:00.281124,22,0.4720677241134845,0.004022268620893365,5.250579006930838,29,2.6,0.6280833055833057,0.7919674769674769,COMPLETE
59,0.645126632263057,2026-07-07 01:02:38.896334,2026-07-07 01:02:39.172490,0 days 00:00:00.276156,21,0.48194436104941757,0.0052856472420632974,4.809816860422306,29,2.5,0.6289366189366189,0.7839534077034076,COMPLETE
60,0.654551178170777,2026-07-07 01:02:39.172490,2026-07-07 01:02:39.432370,0 days 00:00:00.259880,21,0.4774279463568716,0.005252457029859667,5.324268076122951,29,2.45,0.6327322677322677,0.7915129315129315,COMPLETE
61,0.6451427604267825,2026-07-07 01:02:39.432370,2026-07-07 01:02:39.699844,0 days 00:00:00.267474,21,0.467188015909478,0.004987186524235643,4.887055737679238,29,2.65,0.6201454101454101,0.7877995615495615,COMPLETE
62,0.6522967922058647,2026-07-07 01:02:39.699844,2026-07-07 01:02:40.004865,0 days 00:00:00.305021,21,0.4166770950000111,0.005559322965677345,5.28858220737629,29,2.5,0.6304595404595404,0.7915129315129315,COMPLETE
63,0.6510906682127097,2026-07-07 01:02:40.004865,2026-07-07 01:02:40.298130,0 days 00:00:00.293265,18,0.43962439194816416,0.003971508476759316,5.190952547552853,24,4.4,0.6018914418914418,0.8862674825174824,COMPLETE
64,0.6521882702170424,2026-07-07 01:02:40.298130,2026-07-07 01:02:40.558102,0 days 00:00:00.259972,18,0.4081072456421848,0.003583202942350431,5.337301865773956,24,4.4,0.6012805944055943,0.8807167832167832,COMPLETE
65,0.5825570832354939,2026-07-07 01:02:40.558102,2026-07-07 01:02:40.824126,0 days 00:00:00.266024,15,0.40891653533782685,0.003857326722095155,5.3009848505678026,23,6.95,0.5318685665899288,0.9207750582750582,COMPLETE
66,0.6147781977279659,2026-07-07 01:02:40.824126,2026-07-07 01:02:41.101930,0 days 00:00:00.277804,16,0.4166630387600712,0.007576879082258917,6.402022509835443,25,3.85,0.5835670579420579,0.8137470862470864,COMPLETE
67,0.6438079864826398,2026-07-07 01:02:41.101930,2026-07-07 01:02:41.400454,0 days 00:00:00.298524,17,0.35492179742678165,0.0038997787915765582,5.95627012686403,24,4.5,0.5922621128871128,0.8803758741258741,COMPLETE
68,0.6538461157578803,2026-07-07 01:02:41.400454,2026-07-07 01:02:41.691689,0 days 00:00:00.291235,18,0.44106299945396316,0.005224987220569327,5.7286027522973875,27,3.4,0.6185830835830836,0.8431585081585082,COMPLETE
69,0.6399429242641317,2026-07-07 01:02:41.691689,2026-07-07 01:02:41.972936,0 days 00:00:00.281247,18,0.4414821848022438,0.006024724346547726,6.258502041352629,27,3.15,0.6098276723276723,0.805354229104229,COMPLETE
70,0.5305814051848535,2026-07-07 01:02:41.972936,2026-07-07 01:02:42.239077,0 days 00:00:00.266141,13,0.395304830551633,0.0044835579398936135,5.840149532179818,26,7.95,0.4884700945769057,0.8966083916083916,COMPLETE
71,0.6382834200642789,2026-07-07 01:02:42.239077,2026-07-07 01:02:42.490367,0 days 00:00:00.251290,18,0.4309167704611863,0.012813170305235905,5.339856907964575,24,2.6,0.6186582167832169,0.7914287101787102,COMPLETE
72,0.6403004145139692,2026-07-07 01:02:42.490367,2026-07-07 01:02:42.795400,0 days 00:00:00.305033,19,0.3436675287104004,0.008477057037861464,5.0772131780307275,22,3.7,0.5998079004329004,0.8298785936285936,COMPLETE
73,0.6600071689576334,2026-07-07 01:02:42.795400,2026-07-07 01:02:43.045887,0 days 00:00:00.250487,23,0.4701008578889923,0.006115327982301906,5.705504241813229,27,2.15,0.6425757575757576,0.784606365856366,COMPLETE
